symbol,company_name,series,date of listing,paid up value,market lot,isin number,face value,ingestion_time
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2,2026-02-18 17:27:57.692675
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2,2026-02-18 17:27:57.692675
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10,2026-02-18 17:27:57.692675
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5,2026-02-18 17:27:57.692675
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10,1,INE760Y01011,10,2026-02-18 17:27:57.692675
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,2026-02-18 17:27:57.692675
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10,1,INE276G01015,10,2026-02-18 17:27:57.692675
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10,2026-02-18 17:27:57.692675
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,2026-02-18 17:27:57.692675
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10,2026-02-18 17:27:57.692675
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2,1,INE491J01022,2,2026-02-18 17:27:57.692675
ASMS,Bartronics India Limited,EQ,09-FEB-2023,1,1,INE855F01042,1,2026-02-18 17:27:57.692675
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10,2026-02-18 17:27:57.692675
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10,2026-02-18 17:27:57.692675
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10,2026-02-18 17:27:57.692675
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,2026-02-18 17:27:57.692675
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2,2026-02-18 17:27:57.692675
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,2026-02-18 17:27:57.692675
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10,2026-02-18 17:27:57.692675
ATALREAL,Atal Realtech Limited,EQ,12-MAY-2023,2,1,INE0ALR01029,2,2026-02-18 17:27:57.692675
ATAM,Atam Valves Limited,EQ,10-MAY-2023,10,1,INE09KD01013,10,2026-02-18 17:27:57.692675
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1,2026-02-18 17:27:57.692675
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,1,1,INE0LEZ01016,1,2026-02-18 17:27:57.692675
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2,1,INE0NN701020,2,2026-02-18 17:27:57.692675
ATLANTAA,ATLANTAA LIMITED,EQ,25-SEP-2006,2,1,INE285H01022,2,2026-02-18 17:27:57.692675
ATLANTAELE,Atlanta Electricals Limited,EQ,29-SEP-2025,2,1,INE0Z4F01028,2,2026-02-18 17:27:57.692675
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,5,1,INE446A01025,5,2026-02-18 17:27:57.692675
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,2026-02-18 17:27:57.692675
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5,2026-02-18 17:27:57.692675
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,2026-02-18 17:27:57.692675
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10,2026-02-18 17:27:57.692675
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,2026-02-18 17:27:57.692675
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5,2026-02-18 17:27:57.692675
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10,2026-02-18 17:27:57.692675
